Time,Value,Over Threshold
11:41:49.056873,0.001,False
11:41:49.073475,0.001,False
11:41:49.090078,0.001,False
11:41:49.106823,0.001,False
11:41:49.123390,0.002,False
11:41:49.140069,0.002,False
11:41:49.156768,0.002,False
11:41:49.174244,0.002,False
11:41:49.190166,0.002,False
11:41:49.206800,0.002,False
11:41:49.227541,0.002,False
11:41:49.257425,0.002,False
11:41:49.273796,0.002,False
11:41:49.290077,0.002,False
11:41:49.306778,0.002,False
11:41:49.323368,0.002,False
11:41:49.340065,0.002,False
11:41:49.356791,0.002,False
11:41:49.373413,0.002,False
11:41:49.392880,0.002,False
11:41:49.406819,0.002,False
11:41:49.423423,0.002,False
11:41:49.440064,0.002,False
11:41:49.457136,0.002,False
11:41:49.473455,0.002,False
11:41:49.490077,0.002,False
11:41:49.506776,0.002,False
11:41:49.523382,0.002,False
11:41:49.540105,0.002,False
11:41:49.556814,0.002,False
11:41:49.573389,0.002,False
11:41:49.590074,0.002,False
11:41:49.606806,0.002,False
11:41:49.623431,0.002,False
11:41:49.640066,0.002,False
11:41:49.656814,0.002,False
11:41:49.673425,0.002,False
11:41:49.690138,0.002,False
11:41:49.706820,0.002,False
11:41:49.723390,0.002,False
11:41:49.740102,0.002,False
11:41:49.756792,0.002,False
11:41:49.773435,0.002,False
11:41:49.790087,0.002,False
11:41:49.806849,0.002,False
11:41:49.832941,0.002,False
11:41:49.857175,0.002,False
11:41:49.873402,0.002,False
11:41:49.891461,0.002,False
11:41:49.906817,0.002,False
11:41:49.923403,0.002,False
11:41:49.940049,0.002,False
11:41:49.956803,0.002,False
11:41:49.973408,0.002,False
11:41:49.990096,0.002,False
11:41:50.006790,0.002,False
11:41:50.023475,0.002,False
11:41:50.040285,0.002,False
11:41:50.056951,0.002,False
11:41:50.073482,0.002,False
11:41:50.090291,0.002,False
11:41:50.107705,0.002,False
11:41:50.123546,0.002,False
11:41:50.140160,0.002,False
11:41:50.156901,0.002,False
11:41:50.173511,0.002,False
11:41:50.190248,0.002,False
11:41:50.207261,0.002,False
11:41:50.223525,0.002,False
11:41:50.240193,0.002,False
11:41:50.256919,0.002,False
11:41:50.273506,0.002,False
11:41:50.290177,0.002,False
11:41:50.306923,0.002,False
11:41:50.323518,0.002,False
11:41:50.340189,0.002,False
11:41:50.356884,0.002,False
11:41:50.373534,0.002,False
11:41:50.390819,0.002,False
11:41:50.406992,0.002,False
11:41:50.423489,0.002,False
11:41:50.440232,0.002,False
11:41:50.456916,0.002,False
11:41:50.473491,0.002,False
11:41:50.490468,0.002,False
11:41:50.517904,0.002,False
11:41:50.540204,0.002,False
11:41:50.556939,0.002,False
11:41:50.573571,0.002,False
11:41:50.590183,0.002,False
11:41:50.607544,0.002,False
11:41:50.623512,0.002,False
11:41:50.640213,0.002,False
11:41:50.657193,0.002,False
11:41:50.673587,0.002,False
11:41:50.690196,0.002,False
11:41:50.707272,0.002,False
11:41:50.723543,0.002,False
11:41:50.740203,0.002,False
11:41:50.756934,0.002,False
11:41:50.773550,0.002,False
11:41:50.790216,0.002,False
11:41:50.806932,0.002,False
11:41:50.823557,0.002,False
11:41:50.840211,0.002,False
11:41:50.856914,0.002,False
11:41:50.873521,0.002,False
11:41:50.890282,0.002,False
11:41:50.907981,0.002,False
11:41:50.923550,0.002,False
11:41:50.940210,0.002,False
11:41:50.956946,0.002,False
11:41:50.973561,0.002,False
11:41:50.990233,0.002,False
11:41:51.006952,0.002,False
11:41:51.023557,0.002,False
11:41:51.040221,0.002,False
11:41:51.057252,0.002,False
11:41:51.073665,0.002,False
11:41:51.090217,0.002,False
11:41:51.106946,0.002,False
11:41:51.123546,0.002,False
11:41:51.140223,0.002,False
11:41:51.156938,0.002,False
11:41:51.173539,0.002,False
11:41:51.190244,0.002,False
11:41:51.207057,0.002,False
11:41:51.235108,0.002,False
11:41:51.256931,0.002,False
11:41:51.273546,0.002,False
11:41:51.290194,0.002,False
11:41:51.306916,0.002,False
11:41:51.323558,0.002,False
11:41:51.340205,0.002,False
11:41:51.356894,0.002,False
11:41:51.373532,0.002,False
11:41:51.390221,0.002,False
11:41:51.407446,0.002,False
11:41:51.423571,0.002,False
11:41:51.440198,0.002,False
11:41:51.456926,0.002,False
11:41:51.473513,0.002,False
11:41:51.490216,0.002,False
11:41:51.506912,0.002,False
11:41:51.523584,0.002,False
11:41:51.540180,0.002,False
11:41:51.556915,0.002,False
11:41:51.573493,0.002,False
11:41:51.590211,0.002,False
11:41:51.606901,0.002,False
11:41:51.622025,0.002,False
11:41:51.634161,0.002,False
11:41:51.650946,0.002,False
11:41:51.667583,0.002,False
11:41:51.684182,0.002,False
11:41:51.700931,0.002,False
11:41:51.717575,0.002,False
11:41:51.740136,0.002,False
11:41:51.756927,0.002,False
11:41:51.773523,0.002,False
11:41:51.790216,0.002,False
11:41:51.806942,0.002,False
11:41:51.823576,0.002,False
11:41:51.840222,0.002,False
11:41:51.857211,0.002,False
